clube;estado;cidade;lat;lon;ibge;wins;draws;losses
NORTH ESPORTE CLUBE;minas-gerais;Montes Claros;-16.7244;-43.8617;3143302.0;27;24;17
ITAPIPOCA;ceara;Itapipoca;-3.49933;-39.5836;2306405.0;27;23;19
AYMORÉS;minas-gerais;Patos de Minas;-18.5699;-46.5013;3148004.0;27;35;35
PARATY;rio-de-janeiro;Paraíba do Sul;-22.1585;-43.304;3303708.0;26;11;21
UNIÃO SÃO JOÃO;sao-paulo;Araras;-22.3572;-47.3842;3503307.0;26;21;28
JUVENTUDE;maranhao;São Mateus do Maranhão;-4.0417;-44.4717;2111102.0;26;22;32
ANDRAUS;parana;Campo Largo;-25.4578;-49.5297;4104204.0;26;15;23
BRAGANTINO;para;Bragança;-1.06126;-46.7826;1501709.0;26;25;26
PALMAS;tocantins;Palmas;-10.1844;-48.3336;1721000.0;26;12;36
VARGINHA;minas-gerais;Varginha;-21.5597;-45.4389;3170701.0;26;28;29
PINHEIROS;espirito-santo;Pinheiros;-18.4141;-40.2171;3204104.0;26;11;58
PARAGOMINAS;para;Paragominas;-3.00212;-47.3527;1505502.0;25;22;21
GRÊMIO ANÁPOLIS;goias;Anápolis;-16.3281;-48.953;5201108.0;25;34;39
NACIONAL;parana;Curitiba;-25.4195;-49.2646;4106902.0;25;23;48
FOZ DO IGUAÇU;parana;União da Vitória;-26.2273;-51.0873;4128203.0;25;20;23
BARAÚNAS;rio-grande-do-norte;Mossoró;-5.18374;-37.3474;2408003.0;25;11;33
ATLÉTICO;acre;Rio Branco;-9.974;-67.8076;5107206.0;25;17;36
FAST CLUBE;amazonas;Manaus;-3.119;-60.0217;1302603.0;25;20;20
BARRA;sergipe;Barra dos Coqueiros;-10.91;-37.0317;2800605.0;25;20;20
SAPUCAIENSE;rio-grande-do-sul;Sapucaia do Sul;-29.8276;-51.145;4320008.0;25;8;35
JEQUIÉ;bahia;Jequié;-13.8583;-40.0825;2918001.0;25;16;23
SKA BRASIL;sao-paulo;Porto Feliz;-23.2093;-47.5251;3540606.0;25;16;18
ÁGUIA;para;Marabá;-5.38075;-49.1327;1504208.0;25;23;25
LAGUNA;rio-grande-do-norte;Tibau do Sul;-6.2344;-35.0911;2414309.0;25;16;10
VITÓRIA DA CONQUISTA;bahia;Salvador;-12.9718;-38.5011;2927408.0;25;22;28
ATLÉTICO CEARENSE;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;25;25;37
SÃO FRANCISCO;para;Santarém;-2.43849;-54.6996;1506807.0;25;6;25
RIO PRETO;sao-paulo;São José do Rio Preto;-20.8113;-49.3758;3549805.0;25;28;44
SÃO RAIMUNDO;amazonas;Manaus;-3.11866;-60.0212;1302603.0;25;21;25
JABAQUARA;sao-paulo;Santos;-23.9535;-46.335;3548500.0;25;13;33
COIMBRA;minas-gerais;Belo Horizonte;-19.9102;-43.9266;3106200.0;24;26;29
ASEEV;goias;Guapó;-16.8317;-49.5317;5209101.0;24;7;34
CARAVAGGIO;santa-catarina;Nova Veneza;-28.6364;-49.4978;4211603.0;24;20;26
AFOGADOS DA INGAZEIRA;pernambuco;Afogados da Ingazeira;-7.74312;-37.631;2600104.0;24;29;22
UNIÃO DE RONDONÓPOLIS;mato-grosso;Rondonópolis;-16.4673;-54.6372;5107602.0;24;18;38
SÃO FRANCISCO;acre;Rio Branco;-9.974;-67.8076;5107206.0;24;11;40
INDEPENDENTE;amapa;Santana;-0.0583;-51.1817;1600600.0;24;13;11
ALECRIM;rio-grande-do-norte;Natal;-5.79357;-35.1986;2408102.0;24;14;29
AMÉRICA T.O;minas-gerais;Belo Horizonte;-19.9102;-43.9266;3106200.0;24;10;12
SÃO RAIMUNDO;para;Santarém;-2.43849;-54.6996;1506807.0;24;10;10
COLORADO CAIEIRAS;sao-paulo;Caieiras;-23.3639;-46.7411;3509007.0;24;22;23
PETROLINA;pernambuco;Petrolina;-9.38866;-40.5027;2611101.0;24;29;30
INTER DE LAGES;santa-catarina;Lages;-27.815;-50.3259;4209300.0;24;29;39
ZINZA;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;24;14;12
VERA CRUZ;pernambuco;Vitória de Santo Antão;-8.12819;-35.2976;2616407.0;24;19;31
JI-PARANÁ;rondonia;Ji-Paraná;-10.8777;-61.9322;1100122.0;24;20;25
ATLÉTICO CENTRAL;sergipe;Barra dos Coqueiros;-10.91;-37.0317;2800605.0;24;9;28
CONFIANÇA;paraiba;Sapé;-7.09359;-35.228;2515302.0;24;8;18
CENTRO OESTE;goias;Goiás;-15.9333;-50.14;5208905.0;24;18;10
REAL ARIQUEMES;rondonia;Ariquemes;-9.90571;-63.0325;1100023.0;24;12;25
RIO DE JANEIRO;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;24;12;22
RIOGRANDENSE;rio-grande-do-sul;Santa Maria;-29.6868;-53.8149;4316907.0;24;18;26
MARANGUAPE;ceara;Maranguape;-3.89143;-38.6829;2307700.0;24;19;17
SÃO CRISTÓVÃO;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;24;13;18
ROLÂNDIA;parana;Rolândia;-23.3101;-51.3659;4122404.0;23;9;29
RIO BRANCO;parana;Paranaguá;-25.5161;-48.5225;4118204.0;23;19;35
AMÉRICA;sergipe;Propriá;-10.2138;-36.8442;2805703.0;23;20;24
MATONENSE;sao-paulo;Matão;-21.6025;-48.364;3529302.0;23;19;51
CAPITAL;tocantins;Palmas;-10.1844;-48.3336;1721000.0;23;15;33
ATLÉTICO TUBARÃO;santa-catarina;Tubarão;-28.4713;-49.0144;4218707.0;23;22;48
DORENSE;sergipe;Nossa Senhora das Dores;-10.4854;-37.1963;2804607.0;23;18;31
POTYGUAR SERIDOENSE;rio-grande-do-norte;Currais Novos;-6.25484;-36.5146;2403103.0;23;17;35
DESPORTIVO ALIANÇA;alagoas;Barra de Santo Antônio;-9.405;-35.50694;2700508.0;23;13;37
7 DE ABRIL;rio-de-janeiro;São João de Meriti;-22.8058;-43.3729;3305109.0;23;18;43
ARRAIAL DO CABO;rio-de-janeiro;Araruama;-22.8697;-42.3326;3300209.0;23;21;7
UBERABA;minas-gerais;Uberaba;-19.7472;-47.9381;3170107.0;23;20;20
SPORT SINOP;mato-grosso;Sinop;-11.8604;-55.5091;5107909.0;23;17;36
OEIRENSE;piaui;Oeiras;-7.0253;-42.1311;2207008.0;23;16;16
TUPI;minas-gerais;Juiz de Fora;-21.7595;-43.3398;3136702.0;23;21;37
ATLÉTICO;paraiba;Paulista;-6.59138;-37.6185;2510907.0;23;16;19
SÃO JOSEENSE;parana;São José dos Pinhais;-25.5347;-49.2064;4125506.0;22;21;29
FLUMINENSE DE FEIRA;bahia;Feira de Santana;-12.2664;-38.9663;2910800.0;22;19;19
BARBALHA;ceara;Barbalha;-7.2982;-39.3021;2301901.0;22;15;34
UNIÃO CACOALENSE;rondonia;Cacoal;-11.4343;-61.4562;1100049.0;22;16;13
CRUZEIRO;rio-grande-do-sul;Cachoeirinha;-29.95;-51.0833;4303103.0;22;6;10
BAGÉ;rio-grande-do-sul;Bagé;-31.3297;-54.0999;4301602.0;22;13;16
TRINDADE;goias;Trindade;-16.6517;-49.4927;5221403.0;22;10;16
CAPITÃO POÇO;para;Capitão Poço;-1.7456;-47.0575;1502202.0;22;10;12
INDEPENDÊNCIA;acre;Rio Branco;-9.974;-67.8076;5107206.0;22;13;15
ARAÇATUBA;sao-paulo;Araçatuba;-21.2076;-50.4401;3502804.0;22;8;18
MINEIROS;goias;Mineiros;-17.5654;-52.5537;5213103.0;22;8;13
JOSEENSE;sao-paulo;Jacareí;-23.3053;-45.9658;3524402.0;22;24;25
ARUKO;parana;Maringá;-23.4205;-51.9333;4115200.0;22;8;10
YPIRANGA;amapa;Macapá;0.034934;-51.0694;1600303.0;21;12;29
JATAIENSE;goias;Jataí;-17.8784;-51.7204;5211909.0;21;13;31
ELITE CD;rio-grande-do-sul;Rio Grande;-32.0349;-52.1071;4315602.0;21;12;29
PRINCESA;amazonas;Manacapuru;-3.29066;-60.6216;1302504.0;21;25;15
PORTO VELHO ESPORTE CLUBE;rondonia;Porto Velho;-8.76077;-63.8999;1100205.0;21;11;7
PARANOÁ;distrito-federal;Brasília;-15.7744;-47.7817;5300108.0;21;15;20
ECUS;sao-paulo;Suzano;-23.5333;-46.3106;3552502.0;21;12;29
BÚZIOS;rio-de-janeiro;Armação dos Búzios;-22.7481;-41.8817;3300233.0;21;9;22
GUANABARA CITY;goias;Goiânia;-16.6864;-49.2643;5208707.0;21;7;19
ÍBIS;pernambuco;Paulista;-7.9408;-34.8722;2610707.0;21;20;28
GUARANI;santa-catarina;Palhoça;-27.6455;-48.6697;4211900.0;21;23;28
CANAÃ;para;Canaã dos Carajás;-6.495;-49.8731;1502152.0;21;11;18
MARUINENSE;sergipe;Maruim;-10.7308;-37.0856;2804003.0;21;7;29
IGUAÇU;parana;União da Vitória;-26.2273;-51.0873;4128203.0;21;16;18
NITEROIENSE;rio-de-janeiro;Niterói;-22.8832;-43.1034;3303302.0;21;11;8
SERRA BRANCA;paraiba;Cajazeiras;-6.88004;-38.5577;2503704.0;21;14;10
COMERCIAL;mato-grosso-do-sul;Três Lagoas;-20.7849;-51.7007;5008305.0;21;26;48
BARCELONA DE ILHÉUS;bahia;Ilhéus;-14.7935;-39.0331;2913606.0;20;21;28
ATLHETIC;minas-gerais;São João del-Rei;-21.1353;-44.2614;3162500.0;20;6;7
AZURIZ;parana;Pato Branco;-26.2292;-52.6706;4118501.0;20;15;21
DECISÃO;pernambuco;Bonito;-8.47163;-35.7292;2602308.0;20;13;19
OSASCO AUDAX;sao-paulo;Osasco;-23.5324;-46.7916;3534401.0;20;37;53
TIMON;maranhao;Timon;-5.09769;-42.8329;2112209.0;20;22;26
CRATO;ceara;Crato;-7.2153;-39.4103;2304202.0;20;21;51
PARINTINS;amazonas;Parintins;-2.6283;-56.7358;1303403.0;20;14;12
ABECAT OUVIDORENSE;goias;Ouvidor;-18.2277;-47.8355;5215504.0;20;10;11
JAGUARÉ;espirito-santo;Jaguaré;-18.907;-40.0759;3203056.0;20;12;6
CSP;paraiba;João Pessoa;-7.115;-34.8631;2507507.0;20;7;19
SÃO PAULO;rio-grande-do-sul;Rio Grande;-32.0349;-52.1071;4315602.0;20;13;26
PINHEIRO;maranhao;Pinheiro;-2.52224;-45.0788;2108603.0;20;20;24
SANTA CRUZ;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;20;9;16
CAETÉ;para;Cametá;-2.24295;-49.4979;1502103.0;20;9;27
METROPOLITANO;santa-catarina;Blumenau;-26.9155;-49.0709;4202404.0;20;18;35
GUARANI DE JUAZEIRO;ceara;Cruz;-2.91813;-40.176;2304251.0;20;16;25
CAÇADOR;santa-catarina;Caçador;-26.7757;-51.012;4203006.0;20;17;27
LARANJA MECÂNICA;parana;Arapongas;-23.4144;-51.4233;4101507.0;20;15;15
IMPÉRIO SERRANO;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;20;7;3
SAMAMBAIA;distrito-federal;Brasília;-15.8778;-48.0833;5300108.0;20;8;19
ANGRA DOS REIS;rio-de-janeiro;Angra dos Reis;-23.0011;-44.3196;3300100.0;20;11;45
GRÊMIO MAUAENSE;sao-paulo;Mauá;-23.6677;-46.4613;3529401.0;20;28;26
GUARANY DE SOBRAL;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;20;20;23
SANTA ROSA;para;Belém;-1.4554;-48.4898;1501402.0;19;11;23
INTER SM;rio-grande-do-sul;Santa Maria;-29.6842;-53.8069;4316907.0;19;3;7
CARIRI;ceara;Juazeiro do Norte;-7.2372;-39.4121;2307301.0;19;14;21
PICOS;piaui;Picos;-7.07721;-41.467;2208007.0;19;17;25
SÃO PAULO CRYSTAL;paraiba;Aguiar;-7.0918;-38.1681;2500205.0;19;26;31
SPORT CAPIXABA;espirito-santo;Nova Venécia;-18.715;-40.4053;3203908.0;19;14;71
ACADEMIA;mato-grosso;Rondonópolis;-16.4673;-54.6372;5107602.0;19;16;48
SANTA HELENA;goias;Santa Helena de Goiás;-17.8115;-50.5977;5219308.0;19;12;26
QUIXADÁ;ceara;Quixadá;-4.9663;-39.0155;2311306.0;19;6;6
FORÇA E LUZ;rio-grande-do-norte;Natal;-5.7945;-35.2119;2408102.0;19;31;65
BATEL;parana;Guarapuava;-25.3902;-51.4623;4109401.0;19;19;29
ARAUCÁRIA;parana;Araucária;-25.5917;-49.4103;4101804.0;19;12;30
PRUDENTÓPOLIS;parana;Prudentópolis;-25.2111;-50.9754;4120606.0;19;19;21
TUNTUM;maranhao;Tuntum;-5.25476;-44.6444;2112308.0;19;22;17
TAGUATINGA;distrito-federal;Taguatinga;-15.8333;-48.0569;5300108.0;19;13;17
ATLÉTICO PARAENSE;para;Marituba;-1.36002;-48.3421;1504422.0;18;7;9
DESPORTIVA ARACAJU;sergipe;Aracaju;-10.9091;-37.0677;2800308.0;18;2;1
VALERIODOCE;minas-gerais;Itabira;-19.6239;-43.2312;3131703.0;18;20;16
PIAUÍ;piaui;Teresina;-5.09194;-42.8034;2211001.0;18;12;25
COXIM;mato-grosso-do-sul;Coxim;-18.5013;-54.751;5003306.0;18;12;39
CAAC BRASIL;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;18;6;33
GUAPORÉ;rondonia;Rolim de Moura;-11.7271;-61.7714;1100288.0;18;10;13
AMAZÔNIA INDEPENDENTE;para;Belterra;-2.63609;-54.9374;1501451.0;18;14;13
ARAPONGAS;parana;Arapongas;-23.4153;-51.4259;4101507.0;18;10;18
AMÉRICA;pernambuco;Recife;-8.04666;-34.8771;2611606.0;18;9;8
TOLEDO;parana;Toledo;-24.7122;-53.7431;4127700.0;18;18;52
TUPÃ;sao-paulo;Tupã;-21.9347;-50.5136;3555000.0;18;8;17
CANINDÉ;sergipe;Canindé de São Francisco;-9.6436;-37.7886;2801207.0;18;6;26
MAMORÉ;minas-gerais;Patos de Minas;-18.5699;-46.5013;3148004.0;18;39;22
MOSSORÓ;rio-grande-do-norte;Mossoró;-5.18374;-37.3474;2408003.0;18;5;13
BELA VISTA;tocantins;Cachoeirinha;-6.1219;-47.9211;1703842.0;18;13;16
PSTC;parana;Cornélio Procópio;-23.1811;-50.6467;4106407.0;18;16;32
UNIÃO ATLÉTICO;tocantins;Araguaína;-7.1925;-48.2078;1702109.0;18;11;6
PENEDENSE;alagoas;Penedo;-10.2874;-36.5819;2706703.0;17;22;17
PENAROL;amazonas;Itacoatiara;-3.13861;-58.4449;1301902.0;17;13;19
DIMENSÃO SAÚDE;alagoas;Capela;-9.41122;-36.0736;2701309.0;17;4;25
VERA CRUZ;rio-de-janeiro;Angra dos Reis;-23.0011;-44.3196;3300100.0;17;10;19
ESPORTE;paraiba;Paulista;-6.59138;-37.6185;2510907.0;17;6;7
PRIMAVERA;mato-grosso;Primavera do Leste;-15.5591;-54.2982;5107042.0;17;24;21
PLANALTINA;distrito-federal;Brasília;-15.7795;-47.9297;5300108.0;17;8;14
AUTO ESPORTE;paraiba;João Pessoa;-7.11509;-34.8641;2507507.0;17;13;17
RED BULL BRAGANTINO II;sao-paulo;Bragança Paulista;-22.9527;-46.5419;3507605.0;17;7;11
RIO SÃO PAULO;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;17;15;28
NOVA CIDADE;rio-de-janeiro;Nilópolis;-22.8057;-43.4233;3303203.0;17;23;36
FLUMINENSE DE JOINVILLE;santa-catarina;Joinville;-26.3045;-48.8487;4209102.0;17;11;33
GURUPI;tocantins;Gurupi;-11.7279;-49.068;1709500.0;17;16;17
BRASÍLIA;distrito-federal;Brasília;-15.7795;-47.9297;5300108.0;17;5;13
BOQUINHENSE;sergipe;Boquim;-11.1397;-37.6195;2800670.0;17;13;20
LINHARES;espirito-santo;Linhares;-19.3946;-40.0643;3203205.0;17;23;73
IRATY;parana;Irati;-25.4697;-50.6493;4110706.0;17;9;22
JUVENTUS;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;17;10;18
AMÉRICA DE PEDRINHAS;sergipe;Propriá;-10.2138;-36.8442;2805703.0;17;12;29
APUCARANA SPORTS;parana;Apucarana;-23.55;-51.4635;4101408.0;17;13;19
UNIÃO CENTRAL;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;16;11;17
LUZIÂNIA;goias;Luziânia;-16.253;-47.95;5212501.0;16;13;29
SOBRADINHO;distrito-federal;Sobradinho;-15.6517;-47.7853;5300108.0;16;9;23
SOCORRENSE;sergipe;Nossa Senhora do Socorro;-10.8468;-37.1231;2804805.0;16;10;19
AT. ITAPEMIRIM;espirito-santo;Itapemirim;-21.0095;-40.8307;3202801.0;16;9;32
GUARULHOS;sao-paulo;Guarulhos;-23.4538;-46.5333;3518800.0;16;14;28
GUARANY DE BAGÉ;rio-grande-do-sul;Bagé;-31.3297;-54.0999;4301602.0;16;19;32
PACATUBA;ceara;Pacatuba;-3.9784;-38.6183;2309706.0;16;13;32
ORATÓRIO;amapa;Macapá;-0.0383;-51.0632;1600303.0;16;9;15
NÁUTICO;roraima;Caracaraí;1.82766;-61.1304;1400209.0;16;12;32
AGUIA DE MARABA;para;Marabá;-5.38075;-49.1327;1504208.0;16;21;19
RIO NEGRO;amazonas;Manaus;-3.11866;-60.0212;1302603.0;16;9;17
GRÊMIO MARINGÁ;parana;Maringá;-23.4205;-51.9333;4115200.0;16;8;16
BARÉ;roraima;Boa Vista;2.82384;-60.6753;1400100.0;16;9;24
INDEPENDENTE;sergipe;Simão Dias;-10.7417;-37.8108;2807105.0;16;19;24
MAGUARY;pernambuco;Bonito;-8.4719;-35.7272;2602308.0;15;17;12
GUARANY;alagoas;Maceió;-9.66599;-35.735;2704302.0;15;7;6
JARAGUÁ;goias;Jaraguá;-15.7529;-49.3344;5211800.0;15;11;43
JAGUAR;pernambuco;Jaboatão dos Guararapes;-8.1139;-35.0153;2607901.0;15;5;18
BARCELONA;rondonia;Porto Velho;-8.7619;-63.9039;1100205.0;15;12;19
GRÊMIO S23;rio-grande-do-sul;Porto Alegre;-29.9740266;-51.1949496;4314902.0;15;7;6
CONTAGEM;minas-gerais;Contagem;-19.9391;-44.0531;3118601.0;15;12;14
CERES;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;15;9;16
COMERCIAL;piaui;Campo Maior;-4.8217;-42.1641;2202208.0;15;6;23
CONCORDIA ATLÉTICO CLUBE;santa-catarina;Tubarão;-28.4713;-49.0144;4218707.0;15;13;15
RED BULL BRASIL;sao-paulo;Ribeirão Preto;-21.1699;-47.8099;3543402.0;15;18;32
PARAUAPEBAS;para;Parauapebas;-6.06781;-49.9037;1505536.0;15;7;5
VERÊ;parana;Verê;-25.8772;-52.9051;4128609.0;15;13;18
CORDINO;maranhao;Barra do Corda;-5.49682;-45.2485;2101608.0;15;20;33
CENTRO LIMOEIRENSE;pernambuco;Limoeiro;-7.8726;-35.4402;2608909.0;15;13;25
CEO;alagoas;Maceió;-9.66599;-35.735;2704302.0;15;11;39
CEILANDENSE;sergipe;Nossa Senhora das Dores;-10.4854;-37.1963;2804607.0;15;11;25
PINHEIRENSE;para;Belém;-1.4554;-48.4898;1501402.0;15;11;13
SORRISO;mato-grosso;Sorriso;-12.5425;-55.7211;5107925.0;15;21;23
IPOJUCA;pernambuco;Ipojuca;-8.39303;-35.0609;2607208.0;15;13;13
ATLÉTICO CATARINENSE;santa-catarina;São José;-27.6136;-48.6366;4216602.0;15;18;42
INDEPENDENTE TUCURUÍ;para;Belterra;-2.63609;-54.9374;1501451.0;15;18;20
CAMPOS;rio-de-janeiro;Campos dos Goytacazes;-21.7622;-41.3181;3301009.0;15;24;24
GLÓRIA;rio-grande-do-sul;Vacaria;-28.5079;-50.9418;4322509.0;15;3;9
UNIÃO LUZIENSE;minas-gerais;Santa Luzia;-19.7697;-43.8514;3157807.0;14;15;26
JACOBINA;bahia;Jacobina;-11.1812;-40.5117;2917508.0;14;12;24
BATALHÃO;tocantins;Palmas;-10.1844;-48.3336;1721000.0;14;7;15
COLO COLO;bahia;Ilhéus;-14.793;-39.046;2913606.0;14;14;15
FLAMENGO;pernambuco;Recife;-8.04666;-34.8771;2611606.0;14;1;13
CRATEÚS;ceara;Crateús;-5.16768;-40.6536;2304103.0;14;11;12
CTE COLATINA;espirito-santo;Colatina;-19.5493;-40.6269;3201506.0;14;18;39
DESPORTIVA GUARABIRA;paraiba;Guarabira;-6.85064;-35.485;2506301.0;14;12;19
AMADENSE;sergipe;Tobias Barreto;-11.1798;-37.9995;2807402.0;14;8;25
ALVORADA;amazonas;Manaus;-3.11866;-60.0212;1302603.0;14;4;12
ABD;goias;Goiás;-15.9333;-50.14;5208905.0;14;5;6
VASCO DA GAMA;acre;Rio Branco;-9.974;-67.8076;5107206.0;14;6;23
ARAGUAÍNA;tocantins;Araguaína;-7.19238;-48.2044;1702109.0;14;8;8
ARARUAMA;rio-de-janeiro;Araruama;-22.8697;-42.3326;3300209.0;14;26;22
AMÉRICA;sao-paulo;São José do Rio Preto;-20.8113;-49.3758;3549805.0;14;20;31
APARECIDA;goias;Aparecida de Goiânia;-16.8198;-49.2469;5201405.0;14;12;31
QUEIMADENSE;paraiba;Queimadas;-7.3583;-35.8953;2512509.0;14;11;22
PORTUGUESA LONDRINENSE;parana;Londrina;-23.304;-51.1691;4113700.0;14;9;29
FF SPORT;alagoas;Viçosa;-9.3697;-36.2417;2709400.0;14;7;21
CAMPO MOURÃO;parana;Campo Mourão;-24.0463;-52.378;4104303.0;14;12;16
GRÊMIO B;rio-grande-do-sul;Pelotas;-31.7649;-52.3371;4314407.0;14;4;11
FUTEBOL COM VIDA;rio-grande-do-sul;Viamão;-30.0819;-51.0194;4323002.0;14;2;8
TUPY;goias;Jussara;-15.8653;-50.8678;5212204.0;14;11;9
GRAPIÚNA;bahia;Itabuna;-14.7876;-39.2781;2914802.0;14;13;21
ATLÉTICO CARIOCA;rio-de-janeiro;São Gonçalo;-22.8268;-43.0634;3304904.0;14;10;13
CÁCERES;mato-grosso;Cáceres;-16.0764;-57.6818;5102504.0;14;11;14
TIGRES DO BRASIL;rio-de-janeiro;Duque de Caxias;-22.7858;-43.3049;3301702.0;14;14;19
ATLÉTICO ITAJAÍ;santa-catarina;Ibirama;-27.0547;-49.5193;4206900.0;14;4;7
CORUMBAENSE;mato-grosso-do-sul;Corumbá;-19.0077;-57.651;5003207.0;14;18;25
OPERÁRIO;amazonas;Manacapuru;-3.29066;-60.6216;1302504.0;14;14;20
CHAPECOENSE B;santa-catarina;Chapecó;-27.103888888;-52.606666666;4204202.0;14;12;12
BATATAIS;sao-paulo;Batatais;-20.8929;-47.5921;3505906.0;14;18;36
TIRADENTES;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;14;15;27
TOCANTINS MIRACEMA;tocantins;Miracema do Tocantins;-9.56556;-48.393;1713205.0;14;8;28
PETRÓPOLIS;rio-de-janeiro;Teresópolis;-22.4165;-42.9752;3305802.0;13;18;22
MORRINHOS;goias;Goiás;-15.9333;-50.14;5208905.0;13;17;28
GARIBALDI;rio-grande-do-sul;Garibaldi;-29.2564;-51.5239;4308607.0;13;3;19
CORISABBÁ;piaui;Floriano;-6.77182;-43.0241;2203909.0;13;18;23
ITUPIRANGA;para;Itupiranga;-5.13272;-49.3358;1503705.0;13;12;21
INTER DE MINAS;minas-gerais;Andradas;-22.0695;-46.5724;3102605.0;13;11;11
ITUMBIARA;goias;Itumbiara;-18.4093;-49.2158;5211503.0;13;17;31
ARAXÁ;minas-gerais;Araxá;-19.5902;-46.9438;3104007.0;13;10;6
UNIÃO MOGI;sao-paulo;Mogi das Cruzes;-23.5208;-46.1854;3530607.0;13;16;29
AMPARO;sao-paulo;Amparo;-22.7033;-46.7644;3501905.0;13;7;16
AFOGADOS;pernambuco;Afogados da Ingazeira;-7.74312;-37.631;2600104.0;13;9;23
UNIÃO BELTRÃO;parana;Santo Antônio da Platina;-23.2959;-50.0815;4124103.0;13;8;28
TIROL;ceara;Fortaleza;-3.7319;-38.5267;2304400.0;13;8;7
ASTER BRASIL;espirito-santo;Vitória;-20.3155;-40.3128;3205309.0;13;13;16
SANTOS;para;Belém;-1.4554;-48.4898;1501402.0;13;9;14
ATLÉTICO PATROCINENSE;minas-gerais;Patrocínio;-18.9379;-46.9934;3148103.0;13;24;37
GUARAÍ;tocantins;Guaraí;-8.83543;-48.5114;1709302.0;13;7;6
MAGEENSE;rio-de-janeiro;Magé;-22.6517;-43.0425;3302502.0;13;6;38
PORTO;pernambuco;Caruaru;-8.28455;-35.9699;2604106.0;13;21;18
PLÁCIDO DE CASTRO;acre;Plácido de Castro;-10.2806;-67.1371;1200385.0;13;8;24
SANTA CRUZ RIACHUELO;sergipe;Estância;-11.2659;-37.4484;2802106.0;13;5;27
BOCA JÚNIOR;sergipe;Cristinápolis;-11.4744;-37.7553;2801900.0;13;9;24
BOA;minas-gerais;Varginha;-21.5556;-45.4364;3170701.0;13;33;17
SÃO CARLOS;sao-paulo;São Carlos;-22.0174;-47.886;3548906.0;13;14;27
ATLÉTICO RORAIMA;roraima;Boa Vista;2.82384;-60.6753;1400100.0;13;10;25
PALMEIRA DE GOIANINHA;rio-grande-do-norte;Goianinha;-6.26486;-35.1943;2404200.0;13;15;32
CHAPADINHA;maranhao;Chapadinha;-3.73875;-43.3538;2103208.0;13;8;18
AD CARMÓPOLIS;sergipe;Carmópolis;-10.6449;-36.9887;2801504.0;12;9;13
QFC;rio-grande-do-norte;Parnamirim;-5.9158;-35.2628;2403251.0;12;4;1
URUAÇU;goias;Uruaçu;-14.5238;-49.1396;5221601.0;12;8;8
AE PARACATU;minas-gerais;Paracatu;-17.2222;-46.8744;3147006.0;12;14;10
ITABORAÍ PROFUTE;rio-de-janeiro;Itaboraí;-22.7565;-42.8639;3301900.0;12;3;25
ARAGUACEMA;tocantins;Araguaína;-7.19238;-48.2044;1702109.0;12;9;15
ARAGUAIA;mato-grosso;Alto Araguaia;-17.3153;-53.2181;5100300.0;12;9;37
SPORT ATIBAIA;sao-paulo;Atibaia;-23.1171;-46.5563;3504107.0;12;16;15
GUARANY;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;12;8;17
VILLA REAL;minas-gerais;Nova Lima;-19.9758;-43.8509;3144805.0;12;4;12
SETE DE JUNHO;sergipe;Tobias Barreto;-11.1798;-37.9995;2807402.0;12;11;17
RIO VERDE;goias;Rio Verde;-17.7923;-50.9192;5218805.0;12;10;9
REAL SPORT CLUB;rio-grande-do-sul;Capão da Canoa;-29.7642;-50.0282;4304630.0;12;9;23
BARRA MANSA;rio-de-janeiro;Barra Mansa;-22.5481;-44.1752;3300407.0;12;16;31
BARCELONA;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;12;12;33
SANTA MARIA;distrito-federal;Brasília;-16.0167;-48.0167;5300108.0;12;6;24
GALO MARINGÁ;parana;Maringá;-23.4205;-51.9333;4115200.0;12;8;6
NOVO HORIZONTE;rio-grande-do-sul;Esteio;-29.8519;-51.1825;4307708.0;12;12;37
CERRADO;goias;Aparecida de Goiânia;-16.8198;-49.2469;5201405.0;12;13;17
FLAMENGO;sergipe;Nossa Senhora das Dores;-10.4854;-37.1963;2804607.0;12;3;14
YPIRANGA;pernambuco;Santa Cruz do Capibaribe;-7.94802;-36.2061;2612505.0;11;17;14
JUVENTUS;santa-catarina;Jaraguá do Sul;-26.4851;-49.0713;4208906.0;11;19;18
ITARARÉ;sao-paulo;Itararé;-24.1114;-49.3331;3523206.0;11;11;8
IZABELENSE;para;Santa Izabel do Pará;-1.29686;-48.1606;1506500.0;11;10;11
